               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.024773,            0.045399,            0.015026,             0.95305,             0.91215,              0.9587,             0.74756,            0.018026,            0.043341,           0.0079342,            0.006436,            0.006436,            0.006436
                  38,            0.024892,            0.045067,            0.014896,             0.89893,             0.94592,               0.958,             0.75381,            0.017194,            0.042187,           0.0083023,            0.006337,            0.006337,            0.006337
                  39,            0.024846,            0.044864,            0.014426,             0.92255,              0.9423,             0.96311,             0.75548,            0.017585,            0.043246,           0.0075076,            0.006238,            0.006238,            0.006238
                  40,            0.024633,            0.045153,            0.014306,             0.90655,             0.94901,             0.96367,              0.7633,             0.01708,            0.042281,            0.007287,            0.006139,            0.006139,            0.006139
                  41,            0.024632,            0.045196,            0.013721,             0.90955,             0.93933,             0.95864,             0.75629,            0.017288,            0.042496,            0.007664,             0.00604,             0.00604,             0.00604
                  42,            0.024346,            0.044978,            0.013363,             0.91206,             0.95209,             0.96329,             0.75758,            0.017224,            0.042496,           0.0078769,            0.005941,            0.005941,            0.005941
                  43,            0.024203,            0.044914,            0.012866,             0.91582,             0.94661,             0.96303,              0.7564,            0.017555,            0.042497,           0.0069774,            0.005842,            0.005842,            0.005842
                  44,             0.02413,            0.044626,            0.013276,                0.94,             0.94332,             0.96494,             0.76143,            0.017457,            0.042041,           0.0064858,            0.005743,            0.005743,            0.005743
                  45,            0.023773,            0.044657,            0.013088,             0.94174,             0.94426,             0.96765,             0.74725,            0.018105,            0.042601,           0.0067935,            0.005644,            0.005644,            0.005644
                  46,             0.02401,            0.044315,            0.013314,             0.95102,             0.94618,             0.96844,             0.76159,            0.017263,             0.04196,           0.0058168,            0.005545,            0.005545,            0.005545
                  47,              0.0235,            0.043608,            0.012654,              0.9608,             0.93953,             0.97076,             0.76701,            0.017192,            0.041453,           0.0059776,            0.005446,            0.005446,            0.005446
                  48,             0.02314,             0.04338,            0.012704,              0.9619,             0.92073,             0.96229,             0.75268,            0.017222,            0.041952,           0.0086796,            0.005347,            0.005347,            0.005347
                  49,            0.023277,            0.043331,             0.01247,             0.96173,             0.92426,             0.96664,             0.76037,            0.017148,            0.041946,           0.0076749,            0.005248,            0.005248,            0.005248
                  50,            0.023426,            0.043422,            0.012276,             0.96409,             0.92765,             0.96859,             0.76767,            0.017029,            0.042148,           0.0081488,            0.005149,            0.005149,            0.005149
                  51,            0.023227,            0.043014,            0.012329,             0.96301,              0.9316,             0.96845,             0.77304,             0.01658,            0.041733,           0.0077793,             0.00505,             0.00505,             0.00505
                  52,               0.023,            0.042927,            0.011958,             0.95496,             0.92912,             0.96437,             0.75737,            0.017324,            0.042673,           0.0068482,            0.004951,            0.004951,            0.004951
                  53,            0.022478,            0.042669,            0.012228,             0.96329,             0.92922,             0.96792,             0.76954,            0.016535,            0.041758,           0.0070005,            0.004852,            0.004852,            0.004852
                  54,            0.022893,            0.043466,            0.011836,             0.96222,             0.92381,             0.96796,             0.77241,            0.016304,            0.041501,           0.0068498,            0.004753,            0.004753,            0.004753
                  55,            0.022462,            0.042636,            0.011476,             0.95881,             0.93831,             0.97307,             0.77138,            0.016756,            0.041707,           0.0066265,            0.004654,            0.004654,            0.004654
                  56,            0.022481,            0.043538,            0.010725,             0.96419,             0.94453,             0.97098,             0.77451,            0.016465,            0.041426,           0.0059958,            0.004555,            0.004555,            0.004555
                  57,            0.022349,            0.042232,             0.01094,             0.96015,             0.92699,             0.96815,             0.77037,            0.016789,            0.041796,           0.0070148,            0.004456,            0.004456,            0.004456
                  58,            0.022164,            0.042345,            0.010893,              0.9662,             0.93497,             0.97011,             0.77409,            0.016665,            0.041662,           0.0068127,            0.004357,            0.004357,            0.004357
                  59,            0.021817,            0.042513,            0.010973,             0.95861,             0.94045,             0.97116,             0.77528,            0.016509,            0.041665,            0.006073,            0.004258,            0.004258,            0.004258
                  60,            0.022017,            0.041985,            0.010936,             0.95153,             0.95266,             0.97289,             0.77659,             0.01655,            0.041342,           0.0062001,            0.004159,            0.004159,            0.004159
                  61,             0.02167,            0.041455,            0.010756,               0.959,             0.94056,              0.9732,             0.77533,            0.016549,            0.041376,           0.0055521,             0.00406,             0.00406,             0.00406
                  62,            0.021571,             0.04196,            0.010483,             0.95775,             0.94682,             0.97082,             0.77774,            0.016267,            0.041291,           0.0054986,            0.003961,            0.003961,            0.003961
                  63,            0.021485,            0.041085,            0.010176,             0.96406,             0.94173,             0.97082,             0.78085,            0.016105,             0.04115,           0.0053158,            0.003862,            0.003862,            0.003862
                  64,            0.021481,            0.041917,            0.010235,             0.96259,             0.93993,             0.97143,             0.78215,            0.016222,            0.041133,           0.0069771,            0.003763,            0.003763,            0.003763
                  65,            0.021145,            0.041565,            0.010425,               0.964,             0.93883,             0.97312,             0.77387,             0.01679,            0.041414,            0.006146,            0.003664,            0.003664,            0.003664
                  66,            0.021221,             0.04178,            0.010532,             0.95589,             0.94027,             0.97064,             0.77635,            0.016201,            0.041371,           0.0068273,            0.003565,            0.003565,            0.003565
                  67,            0.021027,            0.041616,            0.010446,             0.96312,             0.93398,             0.97109,             0.77769,            0.016369,            0.041098,           0.0053619,            0.003466,            0.003466,            0.003466
                  68,            0.020916,            0.040835,            0.010249,             0.94156,             0.94883,              0.9698,             0.77481,            0.016481,            0.041672,             0.00611,            0.003367,            0.003367,            0.003367
                  69,            0.020864,            0.041403,           0.0097918,             0.96741,             0.93605,             0.97215,             0.77898,             0.01625,            0.041719,           0.0059621,            0.003268,            0.003268,            0.003268
                  70,            0.020942,            0.040882,           0.0099133,             0.95578,              0.9437,             0.97244,             0.77875,            0.016239,            0.041455,           0.0061499,            0.003169,            0.003169,            0.003169
                  71,            0.020709,            0.041307,           0.0095532,             0.95777,             0.94825,             0.97366,             0.78421,            0.016088,            0.041341,           0.0061011,             0.00307,             0.00307,             0.00307
                  72,            0.020497,            0.040987,            0.009792,             0.95824,             0.94112,             0.97164,             0.78318,            0.016044,            0.041012,           0.0054719,            0.002971,            0.002971,            0.002971
                  73,            0.020059,            0.040511,           0.0094814,              0.9608,             0.94416,             0.97168,             0.77957,             0.01607,            0.041563,           0.0055489,            0.002872,            0.002872,            0.002872
                  74,            0.020404,            0.040613,           0.0096213,             0.94808,             0.95297,             0.97328,             0.77819,             0.01608,            0.041557,           0.0052039,            0.002773,            0.002773,            0.002773
                  75,            0.020235,            0.040363,           0.0095188,             0.95985,             0.94445,              0.9738,             0.77524,            0.016255,            0.041448,           0.0055876,            0.002674,            0.002674,            0.002674
                  76,              0.0201,            0.040194,           0.0094374,             0.96657,             0.93915,             0.97339,             0.78026,             0.01634,             0.04145,           0.0056502,            0.002575,            0.002575,            0.002575
                  77,             0.02001,             0.04025,           0.0092916,             0.96452,             0.94467,             0.97328,             0.78179,            0.016097,              0.0411,           0.0050866,            0.002476,            0.002476,            0.002476
                  78,            0.019941,            0.040247,           0.0095164,             0.96877,             0.93961,             0.96919,             0.77977,            0.016236,            0.041425,           0.0050606,            0.002377,            0.002377,            0.002377
                  79,            0.019784,              0.0401,           0.0086675,             0.96531,             0.93991,             0.97174,              0.7789,            0.016231,            0.041641,            0.005342,            0.002278,            0.002278,            0.002278
                  80,            0.019651,            0.040241,           0.0092735,             0.96577,             0.94113,             0.97166,             0.77699,            0.016432,            0.041571,           0.0062621,            0.002179,            0.002179,            0.002179
                  81,            0.019526,            0.039996,           0.0084978,             0.96066,              0.9451,             0.97197,             0.78111,             0.01618,            0.041083,           0.0061127,             0.00208,             0.00208,             0.00208
                  82,            0.019432,            0.039726,           0.0089448,             0.96602,             0.94748,              0.9749,             0.78515,            0.015931,            0.041176,           0.0055257,            0.001981,            0.001981,            0.001981
                  83,            0.019138,            0.039262,            0.008971,             0.96511,             0.94698,             0.97288,              0.7802,            0.016093,            0.041375,           0.0048822,            0.001882,            0.001882,            0.001882
                  84,            0.019085,            0.039288,           0.0089674,              0.9626,              0.9494,             0.97172,             0.78027,            0.016079,             0.04141,           0.0049213,            0.001783,            0.001783,            0.001783
                  85,            0.019041,            0.039527,           0.0084076,             0.96392,             0.94766,              0.9726,             0.78371,            0.016136,            0.041343,           0.0049579,            0.001684,            0.001684,            0.001684
                  86,            0.018965,            0.039306,           0.0090069,             0.95866,             0.95416,             0.97249,              0.7816,            0.016127,             0.04115,           0.0048289,            0.001585,            0.001585,            0.001585
                  87,            0.018853,            0.039115,           0.0086528,             0.96523,             0.95226,             0.97375,             0.78285,            0.016047,            0.041175,           0.0054623,            0.001486,            0.001486,            0.001486
                  88,            0.018673,            0.038826,           0.0081049,              0.9635,             0.94938,             0.97195,             0.78401,            0.015881,             0.04144,           0.0057113,            0.001387,            0.001387,            0.001387
                  89,            0.018866,             0.03991,            0.008416,             0.96644,             0.94266,             0.97142,             0.78192,            0.015859,            0.041127,           0.0055578,            0.001288,            0.001288,            0.001288
